,PM2.5_Stationary
1,-0.12783335787352224
2,-0.17327169977526813
3,-0.14518198872963595
4,-0.06453851072090622
5,0.016529299218970506
6,0.12323262141706115
7,0.09662682234048448
8,0.2018661288148622
9,0.14953171903667606
10,-0.09716373900542497
11,-0.10763065259681914
12,0.25005097909334806
13,0.12464243483670234
14,0.04580953253316
15,0.0
16,-0.3869802581708206
17,-0.639658397165751
18,-0.3448404005074375
19,0.1625188853801398
20,-0.644356790200119
21,-0.10008340843169461
22,0.10008340843169461
23,0.04651999398988127
24,0.8602010029854341
25,-0.39589556368544265
26,-0.12136082013791927
27,-0.03278981207030629
28,-0.06899284767743574
29,-0.07410794468120463
30,-0.039220697768671986
31,-0.08338157415645686
32,-0.13976187715779786
33,-0.22314342631428008
34,-0.13353130333886826
35,0.06899282386793676
36,-0.5108251793219412
37,0.8938172194569539
38,0.3101548070917659
39,-0.3101548070917659
40,-0.5260927812116571
41,-0.08004264357102375
42,0.0
43,0.08004264357102375
44,0.1431007410766444
45,0.3364720461451315
46,0.2135740087230068
47,0.07410794468120463
48,0.6567793644314452
49,-0.11778301250823997
50,-0.13353136286262446
51,-0.07410795383870816
52,-0.02597547965562419
53,-0.05406720665039666
54,-0.08701135173711183
55,-0.06252033743099794
56,-0.10178265974774203
57,-0.03636763094336637
58,0.0
59,0.0714589384393699
60,-0.10919925217720816
61,0.5031034256148822
62,0.2090917539796744
63,-0.3327056793471035
64,-0.08223807568058716
65,-0.08961213190398087
66,0.060624603434087376
67,0.057158397500084
68,0.10536048788005581
69,0.26236420677519634
70,0.40546504400561045
71,0.23841099624997408
72,0.36772474904528885
73,-0.05018974092451378
74,-0.10047052259223355
75,-0.11170397997172454
76,-0.10536050555681697
77,-0.1643030332537605
78,-0.21130906565600593
79,-0.21217448518428328
80,-0.26966351067205796
81,-0.3036823293128388
82,-0.38946461315195346
83,-0.21130898162244882
84,0.34484031472318843
85,0.18924192779947535
86,-0.231801524102337
87,-0.13976187715779786
88,0.0
89,-0.0512932680717747
90,0.0
91,0.0
92,0.0
93,0.0
94,0.38776536183590604
95,0.13353134798168043
96,0.38441159917631573
97,-0.16126811036208855
98,-0.10536048788005581
99,-0.11778300093417138
100,-0.13353134798168043
101,-0.15415062030347182
102,-0.1335313331007396
103,-0.10008340843169461
104,0.0
105,0.0512932680717747
106,0.04879014035991991
107,0.1335313331007396
108,0.7922378552168238
109,0.18859113737831046
110,-0.08134562621242925
111,-0.1262937025081292
112,-0.12260229700872571
113,-0.1150693032736585
114,-0.10265412769225879
115,-0.2097204679190252
116,-0.06899284767743574
117,0.03509130749600353
118,0.3703736815645773
119,0.15415064581366034
120,0.7810084257276071
121,-0.04785601659636374
122,-0.019802625335395785
123,-0.010050334843400233
124,-0.041242954280992894
125,-0.04301738045673931
126,-0.01104983496558365
127,-0.0571584073040019
128,-0.07320339508807594
129,0.012578780624581398
130,0.03681396860464492
131,0.035506684254052345
132,0.3331444135828048
133,0.11034804846239865
134,-0.015037876233830794
135,-0.03861483314519809
136,0.01562531668230349
137,0.007722045497607244
138,-0.03922071007635841
139,-0.08338160198252975
140,-0.12981159946861265
141,-0.040409534254994384
142,0.13481920980625928
143,-0.055569846006806145
144,-0.03883982954445875
145,-0.22067133772193426
146,-0.103989699994538
147,-0.01379332022974844
148,0.06713929381887063
149,-0.0397403233845095
150,-0.06995857881451051
151,-0.3022808207220473
152,-0.2682639262628679
153,-0.2623641875444369
154,-0.22314346798090756
155,-0.08701133911085834
156,0.12783331696445355
157,0.14841994994588015
158,0.03390154018143221
159,-0.4567582095133418
160,-0.11122557319075421
161,0.0
162,0.0
163,0.057158381160228755
164,0.0
165,0.20067059445210134
166,0.16705401473312553
167,-0.039220697768671986
168,0.24685999043155704
169,-0.06453850030424468
170,-0.03390154018143221
171,-0.03509130749600353
172,-0.03636763094336637
173,-0.11778298936010545
174,-0.1335313331007396
175,-0.15415060046222007
176,0.0
177,-0.057158381160228755
178,0.0
179,0.1625188412625289
180,-1.0498211959281445
181,1.232142669388804
182,-0.08701133911085834
183,-0.14660340242157588
184,-0.05406719203052546
185,-0.057158381160228755
186,0.0
187,0.0
188,0.11122557319075421
189,0.10008340843169461
190,0.25131432246084506
191,0.1698989789250468
192,0.060624603434087376
193,-0.26826389609697243
194,-0.16705401473312553
