,PM2.5_Scaled
1,0.4505369242117845
2,0.45009577876108664
3,0.43073333061647195
4,0.37860973778601087
5,0.3577458146457596
6,0.36311832055746135
7,0.23193006685675102
8,0.42164134761253075
9,0.43288155698354447
10,0.4453766088490576
11,0.43204726166511787
12,0.4505369242117845
13,0.45854440893227605
14,0.48630715490325216
15,0.42264872945038434
16,0.34021889237746356
17,0.4727606272332642
18,0.622479994467611
19,0.19426212828843376
20,0.5379648216942834
21,0.50600986593586
22,0.6021413923393837
23,0.6407140807097644
24,0.5686583173596677
25,0.5168882436042057
26,0.4174179521351683
27,0.3840941980264549
28,0.4137063626773225
29,0.4149141564345887
30,0.4151407322741594
31,0.49541357012953663
32,0.296316039944119
33,0.3248746612671621
34,0.4666567669998575
35,0.5021849331911915
36,0.43178470367605576
37,0.42439461086760033
38,0.4527680868074585
39,0.4637200279635172
40,0.4461808247808344
41,0.5791625977932661
42,0.46719825946992816
43,0.752061414414781
44,0.30429417309294177
45,0.4659460026906921
46,0.5232346505194264
47,0.49867364369858713
48,0.41240304618651125
49,0.3962049946147179
50,0.38335376185569847
51,0.38172989940599067
52,0.38417923643750634
53,0.38921094571627435
54,0.4097992558262977
55,0.4320148445606138
56,0.37611441047747973
57,0.38577847367548035
58,0.4042397930257142
59,0.49683405539785475
60,0.4979871108886712
61,0.4326119528086888
62,0.37471457775192324
63,0.4413611136737792
64,0.4775770847219386
65,0.5766547099690664
66,0.538076545983946
67,0.42301534181804196
68,0.5341197294768483
69,0.5439761134424554
70,0.5448666245829069
71,0.4901736598760603
72,0.4559527607073757
73,0.46435118710772144
74,0.4473825166840655
75,0.4144668257672111
76,0.37486473176517304
77,0.33562643483112986
78,0.2991324724145885
79,0.47241542947995213
80,0.3592341572285559
81,0.2592106291569952
82,0.2982305500937147
83,0.3855271026907704
84,0.40833394330441525
85,0.48692335126237957
86,0.4014124421207005
87,0.4817970573880036
88,0.4320148460760543
89,0.5776781262622568
90,0.604953151331451
91,0.2659240571588767
92,0.5273526602131267
93,0.3990092398044436
94,0.39862222006592074
95,0.41660544169701086
96,0.3949203998115699
97,0.3805456155989656
98,0.411515337891975
99,0.45858711647386496
100,0.473942366859966
101,0.4729017745335105
102,0.4577762763141462
103,0.5934772450384223
104,0.561723159627604
105,0.44618082496941225
106,0.5083362149199611
107,0.49528874603979045
108,0.5475918379196142
109,0.46503724579953565
110,0.4447868463755286
111,0.4238159725333262
112,0.40592690751909577
113,0.42314913857660846
114,0.4064392565977877
115,0.3849970758365968
116,0.4047666284640924
117,0.43099558202923755
118,0.45549387380106915
119,0.46989032232570954
120,0.4505369242117845
121,0.46457856996959
122,0.46866956474739485
123,0.4324042836761741
124,0.43649527845397895
125,0.45526114968095804
126,0.4644491373221533
127,0.4271314801115793
128,0.5177200821544818
129,0.47906184397013396
130,0.4699650647742584
131,0.4025838638909611
132,0.4377988686337674
133,0.4632749797898016
134,0.4750845400693967
135,0.46626090153433086
136,0.4427363598316722
137,0.502759823644079
138,0.5010602401687286
139,0.4440864982833944
140,0.3581565344640609
141,0.3657779890343841
142,0.42691163030733165
143,0.42574736296165755
144,0.402583865161482
145,0.43348016174107296
146,0.4388357850944277
147,0.4505369242117845
148,0.420035082421772
149,0.43779886917129557
150,0.4695250757833892
151,0.6045092780853687
152,0.5384416242344591
153,0.3392267800889047
154,0.4963072199594766
155,0.467739499736789
156,0.48721823968183153
157,0.5062905492059174
158,0.5070526947806493
159,0.46601895597078447
160,0.48300795372649863
161,0.4360366026240333
162,0.4233342814451521
163,0.38068465327058715
164,0.36939867387060715
165,0.4291240620167792
166,0.492488406367607
167,0.48551731655022823
168,0.4391448980927059
169,0.43888096683164834
170,0.4505369242117845
171,0.45833748859189677
172,0.4769241266464764
173,0.4790907603940558
174,0.4873266609309257
175,0.5679403079521809
176,0.4921818415473189
177,0.4338043399773197
178,0.4256245911107148
179,0.48028704784535686
180,0.489881779986338
181,0.4952413787930703
182,0.4859275805448076
183,0.4800326273521169
184,0.4884616504238743
185,0.47800168097624485
186,0.5944906053936129
187,0.3700183380117649
188,0.49558356030000966
189,0.5191438061605933
190,0.51480902934428
191,0.48893355923506227
192,0.4616832895699011
193,0.4505369242117845
194,0.4505369242117845
195,0.4505369242117845
196,0.4505369242117845
197,0.4505369242117845
198,0.44566291877050107
199,0.4554109296530679
200,0.4505369242117845
201,0.4039049812479758
202,0.2499118254368689
203,0.3521305896616134
204,0.3434993886884882
205,0.22095796986104455
206,0.4471026014656195
207,0.41852516150702196
208,0.36682136564430096
209,0.3758629137634144
210,0.5825392907929462
211,0.5913921846391293
212,0.41099608757145245
213,0.38650817216755984
214,0.43963845490368814
215,0.42026455711010535
216,0.3970937327459801
217,0.39559588659573564
218,0.3996728077522139
219,0.40578510404343987
220,0.4141504971611894
221,0.4750845390711303
222,0.5722995466467697
223,0.40117124903468454
224,0.31436786037163844
225,0.47053132858507984
226,0.5061534486119991
227,0.4789697038184788
228,0.49293051998287835
229,0.4454289989987232
230,0.4132512536537519
231,0.3857177175544951
232,0.44420820806377026
233,0.49325206741039385
234,0.4505369242117845
235,0.7304200564472894
236,0.39001778733009596
237,0.4112101694002484
238,0.4705844496661475
239,0.48472469102658866
240,0.443137874304303
241,0.41980209826276493
242,0.4261873505852605
243,0.46285900103144795
244,0.4665105300603418
245,0.48103876738909346
246,0.5227812964237142
247,0.599267271552007
248,0.36213340007819395
249,0.34672363161444375
250,0.4435000776455491
251,0.48807561421223566
252,0.4472377233398774
253,0.39457637882825486
254,0.4160889719927786
255,0.40927394887541796
256,0.410265331389978
257,0.455174065947379
258,0.4946991442060128
259,0.5769798291145772
260,0.4405737010179004
261,0.44037241023865453
262,0.45733603212882556
263,0.4298575890231447
264,0.4140625285748246
265,0.4312576948546114
266,0.44659081517008764
267,0.4699650647742584
268,0.4765344730320796
269,0.475256873390279
270,0.49345238285934295
271,0.6362786432301808
272,0.3130358493859913
273,0.3489349168461891
274,0.39478329921765154
275,0.45833748859189677
276,0.501996105830202
277,0.4363634143361551
278,0.420932719609661
279,0.42713147974857335
280,0.434305635242314
281,0.4824921905038013
282,0.5674292589960066
283,0.6900666575660425
284,0.4211059416363503
285,0.3813291071542443
286,0.3836848766912685
287,0.3916080724873274
288,0.40049558000388535
289,0.43382022606949516
290,0.43324565791546105
291,0.4505369242117845
292,0.4779247098469605
293,0.48279966278637887
294,0.5177200842378203
295,0.528874837363343
296,0.3081311943126151
297,0.33593283144258124
298,0.4426754154569626
299,0.520682562773048
300,0.5804141536503518
301,0.5769798325943734
302,0.5498027512196375
303,0.4960115268725768
304,0.4442868270983467
305,0.4598831932354646
306,0.4848373319821129
307,0.4447371326264691
308,0.46349368354605375
309,0.46730935563416415
310,0.4600686962937889
311,0.403930920729044
312,0.4400703225771574
313,0.4444567735050578
314,0.48596220443984733
315,0.46320371110559605
316,0.4944304483615818
317,0.48972958563094543
318,0.49558949637165156
319,0.49976162070297087
320,0.1581166593352119
321,0.404849807964189
322,0.4581314283190243
323,0.5191313808139835
324,0.5079664548414784
325,0.5164349608346501
326,0.5256987877077262
327,0.5031030976377748
328,0.4777395680876019
329,0.4505369242117845
330,0.4524248301930654
331,0.4400646636684666
332,0.4495740026671767
333,0.4713068147644135
334,0.47446758709781484
335,0.4505369242117845
336,0.45009577876108664
337,0.4279714223784486
338,0.44683063596835493
339,0.4772498597392478
340,0.4505369242117845
341,0.4505369242117845
342,0.4505369242117845
343,0.4505369242117845
344,0.4505369242117845
345,0.3740074924152758
346,0.40319955731007495
347,0.3314530670803202
348,0.4195882136586438
349,0.442878841085555
350,0.4474407523015422
351,0.44271209546112655
352,0.4409836052833842
353,0.5637698606562535
354,0.5086545016016604
355,0.5812181794757928
356,0.4505369242117845
357,0.4505369242117845
358,0.4505369242117845
359,0.4505369242117845
360,0.4191524012335413
361,0.34317155517416775
362,0.3795213519388859
363,0.3999005145324162
364,0.416880672152421
365,0.4441681512323494
366,0.4521366913691933
367,0.48150832208378513
368,0.34386824669379534
369,0.4159573866078926
370,0.46038315515025346
371,0.5110950637013322
372,0.48397955384992636
373,0.46015109599490744
374,0.43276817607957613
375,0.3949630996736049
376,0.39012822304434747
377,0.592162010505554
378,0.521805031630785
379,0.5832689967952251
380,0.35567139075058857
381,0.34761379295565753
382,0.40026352078714683
383,0.4689562517631511
384,0.48546823504619235
385,0.5298441993929596
386,0.5893465245915506
387,0.479515740220516
388,0.48192144719002766
389,0.42753027692775075
390,0.4440328918520994
391,0.4800476038555033
392,0.4505369242117845
393,0.3198556689477762
394,0.4013244704513566
395,0.48229815973287377
