Date,City,AQI,AQI_Stationary
2025-01-05 13:00:00+00:00,New York,25.599998,-2.800001999999999
2025-01-05 14:00:00+00:00,New York,26.800001,-2.7999989999999997
2025-01-05 15:00:00+00:00,New York,28.0,-2.3999999999999986
2025-01-05 16:00:00+00:00,New York,28.800001,-1.999998999999999
2025-01-05 17:00:00+00:00,New York,29.2,-1.999998999999999
2025-01-05 18:00:00+00:00,New York,29.6,-1.5999989999999968
2025-01-05 19:00:00+00:00,New York,29.6,-1.5999989999999968
2025-01-05 20:00:00+00:00,New York,29.2,-1.999998999999999
2025-01-05 21:00:00+00:00,New York,28.0,-2.3999999999999986
2025-01-05 22:00:00+00:00,New York,25.599998,-3.2000030000000024
2025-01-05 23:00:00+00:00,New York,22.4,-3.9999980000000015
2025-01-06 00:00:00+00:00,New York,18.0,-6.0
2025-01-06 01:00:00+00:00,New York,17.6,-6.800001999999999
2025-01-06 02:00:00+00:00,New York,17.6,-6.800001999999999
2025-01-06 03:00:00+00:00,New York,17.6,-7.599999999999998
2025-01-06 04:00:00+00:00,New York,18.4,-7.9999980000000015
2025-01-06 05:00:00+00:00,New York,19.6,-8.399999999999999
2025-01-06 06:00:00+00:00,New York,20.0,-8.800001000000002
2025-01-06 07:00:00+00:00,New York,20.0,-9.2
2025-01-06 08:00:00+00:00,New York,19.199999,-9.600002000000003
2025-01-06 09:00:00+00:00,New York,17.6,-10.799999999999997
2025-01-06 10:00:00+00:00,New York,14.8,-12.000001000000001
2025-01-06 11:00:00+00:00,New York,20.12,-5.079999999999998
2025-01-06 12:00:00+00:00,New York,25.599998,0.7999979999999987
2025-01-06 13:00:00+00:00,New York,25.28,-0.31999799999999823
2025-01-06 14:00:00+00:00,New York,24.84,-1.9600010000000019
2025-01-06 15:00:00+00:00,New York,24.2,-3.8000000000000007
2025-01-06 16:00:00+00:00,New York,23.32,-5.4800010000000015
2025-01-06 17:00:00+00:00,New York,22.279999,-6.920000999999999
2025-01-06 18:00:00+00:00,New York,21.36,-8.240000000000002
2025-01-06 19:00:00+00:00,New York,20.56,-9.040000000000003
2025-01-06 20:00:00+00:00,New York,19.8,-9.399999999999999
2025-01-06 21:00:00+00:00,New York,19.45,-8.55
2025-01-06 22:00:00+00:00,New York,20.439999,-5.159998999999999
2025-01-06 23:00:00+00:00,New York,21.68,-0.7199999999999989
2025-01-07 00:00:00+00:00,New York,21.025,3.0249999999999986
2025-01-07 01:00:00+00:00,New York,20.975,3.375
2025-01-07 02:00:00+00:00,New York,20.800001,3.2000010000000003
2025-01-07 03:00:00+00:00,New York,23.600002,6.0000019999999985
2025-01-07 04:00:00+00:00,New York,24.400002,6.000002000000002
2025-01-07 05:00:00+00:00,New York,24.400002,4.800001999999999
2025-01-07 06:00:00+00:00,New York,24.400002,4.400002000000001
2025-01-07 07:00:00+00:00,New York,25.2,5.199999999999999
2025-01-07 08:00:00+00:00,New York,26.399998,7.199999000000002
2025-01-07 09:00:00+00:00,New York,26.800001,9.200001
2025-01-07 10:00:00+00:00,New York,26.0,11.2
2025-01-07 11:00:00+00:00,New York,24.0,3.879999999999999
2025-01-07 12:00:00+00:00,New York,23.600002,-1.9999959999999994
2025-01-07 13:00:00+00:00,New York,24.400002,-0.8799980000000005
2025-01-07 14:00:00+00:00,New York,25.599998,0.7599979999999995
2025-01-07 15:00:00+00:00,New York,26.399998,2.199998000000001
2025-01-07 16:00:00+00:00,New York,27.2,3.879999999999999
2025-01-07 17:00:00+00:00,New York,27.6,5.320001000000001
2025-01-07 18:00:00+00:00,New York,27.6,6.240000000000002
2025-01-07 19:00:00+00:00,New York,26.800001,6.240001000000003
2025-01-07 20:00:00+00:00,New York,25.599998,5.799997999999999
2025-01-07 21:00:00+00:00,New York,24.400002,4.950002000000001
2025-01-07 22:00:00+00:00,New York,23.199999,2.759999999999998
2025-01-07 23:00:00+00:00,New York,22.0,0.3200000000000003
2025-01-08 00:00:00+00:00,New York,21.199999,0.17499899999999968
2025-01-08 01:00:00+00:00,New York,21.199999,0.22499899999999684
2025-01-08 02:00:00+00:00,New York,21.6,0.7999989999999997
2025-01-08 03:00:00+00:00,New York,22.0,-1.600002
2025-01-08 04:00:00+00:00,New York,23.199999,-1.2000030000000024
2025-01-08 05:00:00+00:00,New York,24.8,0.3999980000000001
2025-01-08 06:00:00+00:00,New York,26.399998,1.9999959999999994
2025-01-08 07:00:00+00:00,New York,27.2,2.0
2025-01-08 08:00:00+00:00,New York,28.0,1.600002
2025-01-08 09:00:00+00:00,New York,28.4,1.5999989999999968
2025-01-08 10:00:00+00:00,New York,28.0,2.0
2025-01-08 11:00:00+00:00,New York,27.2,3.1999999999999993
2025-01-08 12:00:00+00:00,New York,26.399998,2.799996
2025-01-08 13:00:00+00:00,New York,27.2,2.7999979999999987
2025-01-08 14:00:00+00:00,New York,28.4,2.800001999999999
2025-01-08 15:00:00+00:00,New York,29.2,2.800001999999999
2025-01-08 16:00:00+00:00,New York,29.6,2.400000000000002
2025-01-08 17:00:00+00:00,New York,30.0,2.3999999999999986
2025-01-08 18:00:00+00:00,New York,30.4,2.799999999999997
2025-01-08 19:00:00+00:00,New York,30.4,3.599998999999997
2025-01-08 20:00:00+00:00,New York,30.4,4.800001999999999
2025-01-08 21:00:00+00:00,New York,30.0,5.599997999999999
2025-01-08 22:00:00+00:00,New York,28.800001,5.6000020000000035
2025-01-08 23:00:00+00:00,New York,26.800001,4.800001000000002
2025-01-09 00:00:00+00:00,New York,25.2,4.000001000000001
2025-01-09 01:00:00+00:00,New York,24.8,3.6000010000000024
2025-01-09 02:00:00+00:00,New York,24.8,3.1999999999999993
